Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Database administrator,Male,South Asian
Argentina,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,Developer with a statistics or mathematics background; Desktop applications developer; Other,Male,Hispanic or Latino/Latina; White or of European descent
Czech Republic,Secondary school,,A few days each month,I don't know,Publicly-traded corporation,Less than a year,Web developer,,
India,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,4 to 5 years,Embedded applications/devices developer,Male,South Asian
Argentina,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Non-profit/non-governmental organization or private school/university,2 to 3 years,Web developer; Database administrator,Male,Hispanic or Latino/Latina
Denmark,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,Data scientist,Male,White or of European descent
Ireland,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,2 to 3 years,Web developer; Embedded applications/devices developer; DevOps specialist,Male,White or of European descent
Spain,Master's degree,A natural science,Never,10 to 19 employees,Venture-funded startup,4 to 5 years,Web developer; Embedded applications/devices developer; Desktop applications developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Publicly-traded corporation,20 or more years,Database administrator; Other,Male,White or of European descent
Argentina,Secondary school,,"Less than half the time, but at least one day each week","1,000 to 4,999 employees",Publicly-traded corporation,16 to 17 years,Web developer; Graphics programming,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
Russian Federation,Bachelor's degree,A non-computer-focused engineering discipline,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Brazil,Professional degree,"Information technology, networking, or system administration",It's complicated,10 to 19 employees,I don't know,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,Male,Hispanic or Latino/Latina
Brazil,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",1 to 2 years,Web developer; Mobile developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Desktop applications developer; Systems administrator; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Desktop applications developer,Male,White or of European descent
France,Bachelor's degree,Fine arts or performing arts,"Less than half the time, but at least one day each week",20 to 99 employees,I don't know,3 to 4 years,Web developer; Graphics programming; Graphic designer,Female,White or of European descent
Czech Republic,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Embedded applications/devices developer; Machine learning specialist; Desktop applications developer; Other,Male,White or of European descent
France,Doctoral degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Government agency or public school/university,9 to 10 years,Web developer; Mobile developer; Embedded applications/devices developer; Quality assurance engineer; Other,Male,Hispanic or Latino/Latina; White or of European descent
