FormalEducation,CompanySize,CompanyType,YearsCodedJob
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",11 to 12 years
Some college/university study without earning a bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years
Secondary school,"5,000 to 9,999 employees",Government agency or public school/university,1 to 2 years
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",14 to 15 years
Some college/university study without earning a bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",Less than a year
Bachelor's degree,100 to 499 employees,Venture-funded startup,15 to 16 years
Bachelor's degree,500 to 999 employees,Publicly-traded corporation,4 to 5 years
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",14 to 15 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Master's degree,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,10 to 19 employees,Venture-funded startup,15 to 16 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,12 to 13 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,14 to 15 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Master's degree,100 to 499 employees,Venture-funded startup,18 to 19 years
Bachelor's degree,100 to 499 employees,Publicly-traded corporation,2 to 3 years
Doctoral degree,"1,000 to 4,999 employees",Non-profit/non-governmental organization or private school/university,9 to 10 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,7 to 8 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years
Master's degree,"10,000 or more employees",Publicly-traded corporation,15 to 16 years
Master's degree,"1,000 to 4,999 employees","Sole proprietorship or partnership, not in startup mode",4 to 5 years
Doctoral degree,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,"5,000 to 9,999 employees",Non-profit/non-governmental organization or private school/university,18 to 19 years
Bachelor's degree,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",5 to 6 years
Bachelor's degree,100 to 499 employees,Non-profit/non-governmental organization or private school/university,8 to 9 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,8 to 9 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",15 to 16 years
Master's degree,100 to 499 employees,I prefer not to answer,9 to 10 years
Some college/university study without earning a bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,20 to 99 employees,I don't know,9 to 10 years
Bachelor's degree,500 to 999 employees,Publicly-traded corporation,9 to 10 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years
Secondary school,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",11 to 12 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,4 to 5 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,3 to 4 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,Publicly-traded corporation,3 to 4 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",14 to 15 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years
Master's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Bachelor's degree,100 to 499 employees,Something else,19 to 20 years
Bachelor's degree,100 to 499 employees,Government agency or public school/university,20 or more years
Master's degree,500 to 999 employees,"Sole proprietorship or partnership, not in startup mode",8 to 9 years
Master's degree,20 to 99 employees,Publicly-traded corporation,11 to 12 years
Master's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,14 to 15 years
Secondary school,"5,000 to 9,999 employees",Publicly-traded corporation,5 to 6 years
Master's degree,10 to 19 employees,Something else,3 to 4 years
Bachelor's degree,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years
Master's degree,"10,000 or more employees","Sole proprietorship or partnership, not in startup mode",10 to 11 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,Pre-series A startup,4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,"5,000 to 9,999 employees",Publicly-traded corporation,3 to 4 years
Master's degree,500 to 999 employees,Publicly-traded corporation,1 to 2 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,Less than a year
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Master's degree,100 to 499 employees,Publicly-traded corporation,3 to 4 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",17 to 18 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Doctoral degree,"10,000 or more employees","Privately-held limited company, not in startup mode",7 to 8 years
Master's degree,100 to 499 employees,I don't know,5 to 6 years
Bachelor's degree,20 to 99 employees,I don't know,3 to 4 years
Bachelor's degree,20 to 99 employees,I prefer not to answer,2 to 3 years
Master's degree,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years
Doctoral degree,Fewer than 10 employees,Venture-funded startup,5 to 6 years
Secondary school,"5,000 to 9,999 employees",Publicly-traded corporation,18 to 19 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees",Publicly-traded corporation,17 to 18 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,I don't know,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,10 to 19 employees,State-owned company,7 to 8 years
